Fuel_Temperature_K,Cladding_Temperature_K,Moderator_Temperature_K,Moderator_Density_gcc,Boron_ppm,CR_Step,K_eff,standard_deviation,Compute_Time_sec
732.8056091129098,689.6068815814696,570.2424253972374,0.72729,243.519899412355,144,1.1144454611990664,0.0007547100403235741,53.55
681.7306758809286,631.4225073918853,557.2963999500694,0.75273,771.3123028691026,101,1.0219431489274526,0.0007084111629648212,61.69
520.3471743782205,587.4080589750417,583.3860815840455,0.69765,541.0573367432601,99,1.046100314721225,0.0007830035025317487,63.32
1092.8869644743932,611.9253962360481,580.119971498418,0.70546,857.9711148074681,151,1.0210269898883608,0.0007600675980209838,62.41
958.0310105895946,688.708033576042,522.2737132440119,0.80995,48.235535854027376,78,1.1129018142639924,0.0007201367050934388,61.54
858.7367777606091,645.4665160778319,578.5670460534891,0.70906,254.71945415963663,154,1.1090073692411926,0.0007054911699057981,63.38
588.1436531255337,676.6495110392623,530.5363222555416,0.79763,204.7610367682081,96,1.1118737546391542,0.0007950556883673058,60.96
1046.6112598417872,684.2835877065455,525.3214888895662,0.80548,899.9041469721851,228,1.035717882332963,0.0007101049200006376,60.08
746.2114186796822,576.9734362721986,552.4951321779199,0.76145,738.3346827877564,175,1.054146553003339,0.0007435351703513678,57.99
1030.770650187308,660.9218841890107,520.6971305082732,0.81224,1206.7519833994247,123,0.975374617381562,0.0007454154743988185,58.12
1174.6400861254042,628.9935523505238,555.5000209721518,0.75603,401.98288430675217,108,1.0663156843404538,0.0008157496775169763,61.38
1013.4559912292247,646.3122414908041,563.1902406955263,0.74152,1210.6979522332333,220,0.993335821924409,0.0007216877533035533,60.46
983.55480607434,696.0215545203771,549.5395371165812,0.76666,952.0095991294033,19,0.8936330536871233,0.0007837813438225467,59.91
914.6362739024252,656.549912015195,556.0409127778956,0.75504,654.3548123109517,185,1.0642240938644554,0.000720136275046052,61.04
581.0952786436876,566.085242668406,550.8854483393026,0.7643,1200.5283307937927,156,0.9960128731081018,0.0007932410303726308,58.57
531.8961799077232,584.2892470511035,514.7407165297788,0.82068,902.7355697790708,208,1.046759148942254,0.0006100495783017266,58.52
882.0878813599139,521.2375043758014,569.3333601427425,0.72918,827.6910982045091,201,1.0419970140251709,0.0008129438069601293,61.34
706.7836859502904,501.03956441798005,504.33868855286005,0.83479,565.357577446276,194,1.090910478241306,0.0007911714504468065,59.18
1066.8872104015695,557.4865964636531,550.4940788396628,0.76499,928.1421412797479,7,0.8916182781032929,0.000704798687002645,59.88
525.7710259849879,650.1117358275692,513.5343792628312,0.82236,1135.3497884484927,110,0.9898729614949023,0.000748123044113864,57.69
744.9091802227138,611.7090524621113,590.1037528267555,0.6804,633.9769749971988,238,1.0685256158387781,0.0007614881269313811,63.3
1146.3807597256532,570.6260107890756,549.4316824000882,0.76685,385.8748856180559,165,1.096556084846878,0.0007689242052572165,60.78
823.6243453141736,563.5023899735587,581.266863979824,0.70276,522.004907154109,237,1.0850508894985582,0.0007736802094611935,62.86
900.1451559437311,589.6615491885873,598.5439307906362,0.65576,802.6908093617701,158,1.0255968399222333,0.0008209453703227624,63.18
621.5528637378186,614.9774978318386,546.7004156718735,0.77155,767.0577385512073,22,0.9183468472867743,0.0007203432211698132,59.8
910.6344693058368,554.9376160142816,531.1441462782029,0.7967,921.7445288417622,61,0.9590640077178343,0.0007285535773102089,59.13
765.8053884193246,659.9835236874808,580.5308747453652,0.7045,1132.8383909762556,117,0.9821636282680157,0.0007415116413905094,61.84
989.2100167717213,691.1518181609833,509.56642911887405,0.8278,137.96077988821114,161,1.1507854519423748,0.0007753082004143794,60.91
1070.5799997822342,516.9195962686465,532.0841683541594,0.79525,973.6312216012947,197,1.0209175355773428,0.000739696647031941,59.14
804.726436448776,683.2720882078702,503.99766960867987,0.83524,905.5155284198083,130,1.022068721782938,0.0006993179044480301,57.69
529.9672189531817,563.1927410711523,578.0939401103283,0.71015,670.875659836236,192,1.0684316536245493,0.0007774703684478678,61.94
1056.0041676891033,634.4327510436399,555.9425109545045,0.75522,900.3373520366131,207,1.0302602946077304,0.0007238292146080831,60.63
901.1711261880969,550.5710375113812,579.3738794124831,0.7072,27.56231467157739,246,1.1614687068855367,0.0007697943702038049,64.13
836.4609244410065,666.8785207721169,521.172832034094,0.81155,758.3790911749081,33,0.9317914332177576,0.0007158251077656184,59.15
979.5311638862211,629.7717683549148,510.40256362045915,0.82666,674.5819297073599,51,0.9738817380834411,0.0006968394377765526,58.69
866.9170246503122,555.992747062191,537.4305123454,0.78685,234.8023623559778,189,1.136835976677868,0.0007768144949900072,60.81
534.8081980398554,665.9328330113223,500.19027300052824,0.8402,65.5241650120251,16,1.021619903760347,0.0008181482530591979,60.04
1056.9577595601345,593.6980084037292,557.8392199617333,0.75172,486.4672145695319,168,1.079760494614032,0.0007371193245897279,61.27
949.6001796302772,522.0618744950543,554.6694603437337,0.75754,275.445065907281,174,1.1193488486571193,0.0006597508814512738,61.16
562.1171004630187,636.1889405484536,519.0481903421237,0.8146,909.2572763326701,202,1.0422178183411763,0.0007234325559284443,59.93
1112.1148369989178,573.2369782475705,551.0788219249903,0.76396,947.8787307867665,55,0.9359530490506317,0.0008111957724122354,60.13
773.1200752136319,512.1514427255457,517.8929474763568,0.81625,282.0250818585896,62,1.05504266990423,0.0007550717323202321,60.12
1130.4328018508625,507.9581837374879,556.6070429241677,0.754,413.2819516150168,35,0.9491565165856755,0.0007648773997891808,61.46
886.3310671544106,576.3357715748041,569.7280067355636,0.72836,1155.3460604595293,18,0.8686779777916549,0.0007330038802130278,60.83
507.27881459591345,696.6024037750815,585.3858862461112,0.69269,488.25061082518164,206,1.093768198557722,0.0006661890014563433,64.03
723.5398586053834,573.1402409350846,529.2376848775408,0.79961,1122.1447725661299,143,0.9985104342435825,0.0007193506771570871,58.58
