Fuel_Temperature_K,Cladding_Temperature_K,Moderator_Temperature_K,Moderator_Density_gcc,Boron_ppm,CR_Step,K_eff,standard_deviation,Compute_Time_sec,RFR_Predicted_K_eff,RFR_Error_pcm,RFR_Compute_Time_sec,XGB_Predicted_K_eff,XGB_Error_pcm,XGB_Compute_Time_sec
1068.440066910414,572.869699616484,564.4006526180078,0.73915,561.0244399763701,56,0.9778233840357088,0.0007665400337165,50.99,0.986263159799844,843.9775764135238,9.184850001474843e-05,0.98179877,397.53840078092793,4.749200001242571e-05
872.0998857172926,622.1946598602751,500.90702481769966,0.83927,413.5571656871616,154,1.106397150465918,0.0008029984298984,59.01,1.1060834644666628,31.36859992551866,9.184850001474843e-05,1.108372,197.48225718017042,4.749200001242571e-05
839.5382014629553,674.3809805161414,514.2499922834189,0.82136,6.929087000426341,106,1.1544783046471,0.0007061310625021,61.22,1.14975146402581,472.684062129014,9.184850001474843e-05,1.1537538,72.45471702934658,4.749200001242571e-05
883.9843183001612,613.9488515177973,532.5300003032751,0.79456,268.56979237541543,133,1.1155527893238055,0.0007975299682722,61.11,1.1259552740431862,1040.2484719380657,9.184850001474843e-05,1.1177671,221.43062419903714,4.749200001242571e-05
846.258222691861,528.4339733049268,581.2338905220071,0.70284,769.688922756679,21,0.8935606874170041,0.0008007491925881,62.3,0.900538360000426,697.7672583421856,9.184850001474843e-05,0.89255923,100.14570893979169,4.749200001242571e-05
504.85723289411584,651.8185897359132,553.6216712518782,0.75943,339.5680136844451,207,1.12802713769924,0.0007582075795159,61.9,1.1167224840735164,1130.4653625723527,9.184850001474843e-05,1.1235275,449.9610843771151,4.749200001242571e-05
959.4292055182888,631.9996270304121,586.4537839933857,0.68998,777.5399061456144,209,1.042221848661136,0.0007937766793214,61.85,1.0467809077489987,455.90590878625824,9.184850001474843e-05,1.0429527,73.0808084774548,4.749200001242571e-05
650.6427225358508,539.6863791121451,595.4968472857067,0.66511,701.1373116066899,74,0.9860563771693852,0.0007675188620769,63.03,1.0013629132144053,1530.653604502008,9.184850001474843e-05,0.9859784,7.7952620282428775,4.749200001242571e-05
1195.8880088595956,663.0884704536434,580.5172204195886,0.70453,248.80159052213435,65,1.0258180289394936,0.0007607032312182,62.89,1.037961400289951,1214.337135045751,9.184850001474843e-05,1.023061,275.6991875894954,4.749200001242571e-05
964.2968760626218,552.956871877713,544.4238302985045,0.7754,515.3462983939069,3,0.937489875788558,0.0007318529881222,60.03,0.9441742864905975,668.4410702039512,9.184850001474843e-05,0.93815696,66.70866061563308,4.749200001242571e-05
587.7563367134045,623.0731826240359,555.9299228399572,0.75525,804.8544798609407,222,1.056976600092178,0.0007833943989046,59.51,1.0528703564481798,410.6243643998253,9.184850001474843e-05,1.0565532,42.33555014188095,4.749200001242571e-05
